"categoria_precio","num_propiedades","calificacion_promedio","calificacion_limpieza_promedio","calificacion_ubicacion_promedio","precio_promedio","relacion_calidad_precio"
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,6.1658487479552
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,1.71049818259568
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,1.7472335468841
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,4.35729847494553
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,2.47719851368089
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,6.82103751570634
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,1.81058495821727
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,4.14540816326531
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,1.87055742611298
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,4.53375811787771
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,4.75059382422803
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,5.90841949778434
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,8.02139037433155
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,2.53260731923515
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,2.37410970885918
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,6.94691841824011
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,5.57435795341429
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,4.95314591700134
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,1.40222198252616
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,4.84813917011265
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,3.99644760213144
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,1.73270185976666
"Económico",447,3.00782997762864,2.92818791946309,2.99865771812081,7443.35794183445,2.10505212510024
